country,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,family_size,stress_score,anxiety_score,depression_score,stress_category,anxiety_category,depression_category
US,2,2,4,5,4,6,6,5,3,5,2,3,2,1,21,1,2,1,10,2,1,2,11,4,11,0,0,1
GB,5,6,6,6,6,5,6,3,5,4,3,3,2,1,55,1,2,1,60,1,1,6,15,11,12,1,2,1
US,4,5,5,5,6,6,5,6,5,1,3,2,2,1,49,1,1,3,60,1,2,3,7,12,8,0,2,0
US,7,1,3,5,5,1,7,6,2,1,2,2,2,1,42,1,7,1,60,1,3,1,30,22,34,3,4,4
US,7,5,6,7,6,5,7,3,4,1,3,3,2,1,23,1,1,1,60,1,1,5,38,41,34,4,4,4
US,5,7,7,6,6,5,2,3,1,2,1,2,1,1,16,1,1,1,60,2,1,2,31,17,28,3,3,4
US,4,3,5,4,7,3,6,3,5,3,2,2,2,1,45,2,4,1,60,1,2,3,7,1,1,0,0,0
US,1,1,7,6,5,7,7,5,1,5,2,2,1,1,19,1,1,1,60,1,1,2,42,35,42,4,4,4
MX,1,4,4,5,4,6,5,3,1,6,2,3,1,2,18,1,4,3,70,2,1,2,18,2,29,1,0,4
US,1,1,3,3,5,6,7,3,5,1,3,1,2,1,35,1,1,2,60,0,2,3,7,5,20,0,0,2
US,1,1,3,7,3,7,6,7,1,2,2,1,2,1,19,1,2,2,60,1,2,6,31,20,12,3,4,1
US,2,5,4,4,6,6,3,4,2,1,2,3,2,1,19,2,2,3,60,1,1,1,19,14,32,2,2,4
IT,5,4,3,5,5,6,4,5,4,2,2,2,1,2,17,1,2,1,60,2,1,2,18,9,12,1,1,1
IN,7,5,6,3,5,7,7,3,5,3,2,3,2,2,16,1,8,1,70,2,1,2,6,3,0,0,0,0
AU,2,6,5,4,3,6,7,5,6,1,2,2,1,2,19,1,3,2,10,2,1,2,15,6,15,1,0,2
GB,1,5,2,7,5,7,6,7,5,6,1,2,1,1,15,1,1,1,60,2,1,5,19,16,18,2,3,2
US,5,6,6,5,7,3,6,2,5,2,2,2,1,1,35,1,2,1,60,1,2,2,32,2,15,3,0,2
US,4,5,6,4,4,5,6,4,4,3,4,3,2,1,29,1,7,5,60,1,2,4,23,13,11,2,2,1
FR,6,7,6,1,6,7,7,2,7,3,2,2,1,2,18,1,1,1,60,2,1,2,6,3,4,0,0,0
NONE,5,5,5,5,5,5,5,3,3,3,4,1,1,1,41,1,4,1,60,2,1,4,14,7,15,0,0,2
CA,5,3,3,5,5,4,6,5,1,4,2,3,2,1,18,1,7,3,70,2,1,3,28,17,32,3,3,4
US,4,6,7,7,2,4,1,5,1,2,2,1,1,1,36,1,7,1,60,1,1,2,36,7,22,4,0,3
US,2,6,6,6,6,6,2,3,6,3,4,3,1,1,47,1,7,1,60,2,2,6,24,8,22,2,1,3
US,4,5,7,4,6,2,5,2,5,2,2,2,2,1,33,1,4,1,70,1,1,8,21,2,4,2,0,0
MY,4,6,7,7,5,6,6,6,6,6,4,2,2,1,29,1,10,0,10,2,1,5,12,9,15,0,1,2
FR,1,1,7,6,6,7,7,7,2,2,2,2,1,2,20,1,1,1,60,1,1,1,20,19,35,2,3,4
US,6,5,3,7,7,2,5,6,1,7,1,2,2,1,17,1,1,4,60,2,1,2,37,22,29,4,4,4
GB,6,1,6,7,4,7,7,7,4,4,3,3,2,1,54,1,6,1,60,2,2,2,32,33,36,3,4,4
US,2,5,5,5,4,6,4,2,3,2,2,3,2,2,19,1,4,2,70,2,1,3,14,20,22,0,4,3
US,4,5,7,5,4,7,6,4,3,4,2,2,2,1,18,1,7,1,30,1,1,2,29,10,28,3,2,4
PH,2,2,4,6,5,7,7,5,2,4,1,3,2,2,14,2,4,5,10,2,1,2,42,41,40,4,4,4
US,2,5,5,6,6,5,5,2,1,1,1,2,2,1,13,1,1,1,60,2,1,3,38,25,37,4,4,4
US,2,6,6,5,3,6,5,2,5,3,2,2,2,1,17,1,1,1,60,2,1,1,16,0,2,1,0,0
NONE,2,5,3,4,2,4,2,1,3,3,3,2,2,2,30,3,7,1,60,1,2,3,14,2,14,0,0,2
